State,County,Year,Total population,Male Total population,Female Total population
Florida,Wakulla County,2009,30232,15983,14249
Florida,Walton County,2009,52528,26722,25806
Florida,Washington County,2009,22997,11917,11080
Georgia,Appling County,2009,17871,8869,9002
Georgia,Atkinson County,2009,8124,3969,4155
Georgia,Bacon County,2009,10464,5228,5236
Georgia,Baker County,2009,3810,1624,2186
Georgia,Baldwin County,2009,46252,25035,21217
Georgia,Banks County,2009,16388,8126,8262
Georgia,Barrow County,2009,66458,33285,33173
Georgia,Bartow County,2009,92490,45283,47207
Georgia,Ben Hill County,2009,17535,8595,8940
Georgia,Berrien County,2009,16814,8299,8515
Georgia,Bibb County,2009,155034,71086,83948
Georgia,Bleckley County,2009,12584,6229,6355
Georgia,Brantley County,2009,15442,7690,7752
Georgia,Brooks County,2009,16324,7771,8553
Georgia,Bryan County,2009,30109,14937,15172
Georgia,Bulloch County,2009,66366,32277,34089
Georgia,Burke County,2009,22807,10820,11987
Georgia,Butts County,2009,23596,12607,10989
Georgia,Calhoun County,2009,6113,3531,2582
Georgia,Camden County,2009,47003,22981,24022
Georgia,Candler County,2009,10380,5161,5219
Georgia,Carroll County,2009,110641,54141,56500
Georgia,Catoosa County,2009,62075,29888,32187
Georgia,Charlton County,2009,10700,5802,4898
Georgia,Chatham County,2009,248078,118507,129571
Georgia,Chattahoochee County,2009,14364,9220,5144
Georgia,Chattooga County,2009,26492,13501,12991
Georgia,Cherokee County,2009,201233,100729,100504
Georgia,Clarke County,2009,113112,54605,58507
Georgia,Clay County,2009,3156,1476,1680
Georgia,Clayton County,2009,271652,131684,139968
Georgia,Clinch County,2009,7004,3534,3470
Georgia,Cobb County,2009,690430,342174,348256
Georgia,Coffee County,2009,40198,20069,20129
Georgia,Colquitt County,2009,44633,22227,22406
Georgia,Columbia County,2009,108015,52594,55421
Georgia,Cook County,2009,16419,7913,8506
Georgia,Coweta County,2009,118531,58795,59736
Georgia,Crawford County,2009,12511,6391,6120
Georgia,Crisp County,2009,22062,10393,11669
Georgia,Dade County,2009,16070,7761,8309
Georgia,Dawson County,2009,21330,10609,10721
Georgia,Decatur County,2009,28495,13735,14760
Georgia,DeKalb County,2009,733060,355155,377905
Georgia,Dodge County,2009,19695,10779,8916
Georgia,Dooly County,2009,11641,6216,5425
Georgia,Dougherty County,2009,95330,44169,51161
Georgia,Douglas County,2009,122657,59981,62676
Georgia,Early County,2009,11812,5417,6395
Georgia,Echols County,2009,4157,2324,1833
Georgia,Effingham County,2009,50357,25007,25350
Georgia,Elbert County,2009,20574,9842,10732
Georgia,Emanuel County,2009,22620,11185,11435
Georgia,Evans County,2009,11446,5374,6072
Georgia,Fannin County,2009,22434,10735,11699
Georgia,Fayette County,2009,105303,51449,53854
Georgia,Floyd County,2009,95239,46345,48894
Georgia,Forsyth County,2009,157514,79649,77865
Georgia,Franklin County,2009,21701,10473,11228
Georgia,Fulton County,2009,987148,485887,501261
Georgia,Gilmer County,2009,28381,14493,13888
Georgia,Glascock County,2009,2736,1329,1407
Georgia,Glynn County,2009,74507,35873,38634
Georgia,Gordon County,2009,51760,26138,25622
Georgia,Grady County,2009,24801,11858,12943
Georgia,Greene County,2009,15629,7551,8078
Georgia,Gwinnett County,2009,766912,386017,380895
Georgia,Habersham County,2009,41790,19096,22694
Georgia,Hall County,2009,177685,89805,87880
Georgia,Hancock County,2009,9449,4963,4486
Georgia,Haralson County,2009,28559,13854,14705
Georgia,Harris County,2009,28884,14331,14553
Georgia,Hart County,2009,24088,11860,12228
Georgia,Heard County,2009,11423,5638,5785
Georgia,Henry County,2009,182952,89583,93369
Georgia,Houston County,2009,130910,63446,67464
Georgia,Irwin County,2009,10138,5594,4544
Georgia,Jackson County,2009,58644,28913,29731
Georgia,Jasper County,2009,13588,6752,6836
Georgia,Jeff Davis County,2009,13312,6493,6819
Georgia,Jefferson County,2009,16480,7786,8694
Georgia,Jenkins County,2009,8532,4144,4388
Georgia,Johnson County,2009,9202,4732,4470
Georgia,Jones County,2009,27256,13173,14083
Georgia,Lamar County,2009,17010,8143,8867
Georgia,Lanier County,2009,7967,3944,4023
Georgia,Laurens County,2009,47510,22815,24695
Georgia,Lee County,2009,32861,16791,16070
Georgia,Liberty County,2009,60994,30435,30559
Georgia,Lincoln County,2009,8038,3972,4066
Georgia,Long County,2009,11394,5475,5919
Georgia,Lowndes County,2009,102440,50386,52054
Georgia,Lumpkin County,2009,26417,12945,13472
Georgia,McDuffie County,2009,21624,10205,11419
Georgia,McIntosh County,2009,11268,5632,5636
Georgia,Macon County,2009,13397,6685,6712
Georgia,Madison County,2009,27735,13801,13934
Georgia,Marion County,2009,7026,3668,3358
Georgia,Meriwether County,2009,22858,10821,12037
Georgia,Miller County,2009,6166,2904,3262
Georgia,Mitchell County,2009,23808,12270,11538
Georgia,Monroe County,2009,24728,12656,12072
Georgia,Montgomery County,2009,8939,4596,4343
Georgia,Morgan County,2009,18120,8802,9318
Georgia,Murray County,2009,40535,20154,20381
Georgia,Muscogee County,2009,188737,89470,99267
Georgia,Newton County,2009,94076,45420,48656
Georgia,Oconee County,2009,31422,15713,15709
Georgia,Oglethorpe County,2009,13927,6878,7049
Georgia,Paulding County,2009,125780,62554,63226
Georgia,Peach County,2009,26019,12574,13445
Georgia,Pickens County,2009,30021,14783,15238
Georgia,Pierce County,2009,17830,9161,8669
Georgia,Pike County,2009,17012,8417,8595
Georgia,Polk County,2009,41414,20842,20572
Georgia,Pulaski County,2009,9778,4174,5604
Georgia,Putnam County,2009,20145,9991,10154
Georgia,Quitman County,2009,2647,1235,1412
Georgia,Rabun County,2009,16464,8179,8285
Georgia,Randolph County,2009,7259,3475,3784
Georgia,Richmond County,2009,198079,93474,104605
Georgia,Rockdale County,2009,81444,40455,40989
Georgia,Schley County,2009,4129,2052,2077
Georgia,Screven County,2009,15077,7134,7943
Georgia,Seminole County,2009,9068,4465,4603
Georgia,Spalding County,2009,63073,30751,32322
Georgia,Stephens County,2009,25343,12049,13294
Georgia,Stewart County,2009,4638,2283,2355
Georgia,Sumter County,2009,32363,15271,17092
Georgia,Talbot County,2009,6496,3060,3436
Georgia,Taliaferro County,2009,1863,812,1051
Georgia,Tattnall County,2009,23310,12906,10404
Georgia,Taylor County,2009,8654,4390,4264
Georgia,Telfair County,2009,13146,7861,5285
Georgia,Terrell County,2009,10364,4978,5386
Georgia,Thomas County,2009,45275,21260,24015
Georgia,Tift County,2009,41932,20649,21283
Georgia,Toombs County,2009,27601,13017,14584
Georgia,Towns County,2009,10752,5003,5749
Georgia,Treutlen County,2009,6907,3290,3617
Georgia,Troup County,2009,63414,30618,32796
Georgia,Turner County,2009,9374,4555,4819
Georgia,Twiggs County,2009,10259,5215,5044
Georgia,Union County,2009,20699,10075,10624
Georgia,Upson County,2009,27501,13160,14341
Georgia,Walker County,2009,64295,31321,32974
Georgia,Walton County,2009,82243,40251,41992
Georgia,Ware County,2009,35658,17678,17980
Georgia,Warren County,2009,5887,2626,3261
Georgia,Washington County,2009,20608,9248,11360
Georgia,Wayne County,2009,28954,15134,13820
Georgia,Webster County,2009,2203,1022,1181
Georgia,Wheeler County,2009,6819,4124,2695
Georgia,White County,2009,24702,12114,12588
Georgia,Whitfield County,2009,92292,46252,46040
Georgia,Wilcox County,2009,8721,5048,3673
Georgia,Wilkes County,2009,10292,4855,5437
Georgia,Wilkinson County,2009,10044,4842,5202
Georgia,Worth County,2009,21351,10231,11120
Hawaii,Hawaii County,2009,172370,86751,85619
Hawaii,Honolulu County,2009,902564,457109,445455
Hawaii,Kalawao County,2009,78,41,37
Hawaii,Kauai County,2009,63033,31660,31373
Hawaii,Maui County,2009,142196,72063,70133
Idaho,Ada County,2009,368791,185742,183049
Idaho,Adams County,2009,3520,1732,1788
Idaho,Bannock County,2009,80428,39356,41072
Idaho,Bear Lake County,2009,5859,2865,2994
Idaho,Benewah County,2009,9246,4709,4537
Idaho,Bingham County,2009,43635,21820,21815
Idaho,Blaine County,2009,21775,11399,10376
Idaho,Boise County,2009,7467,3781,3686
Idaho,Bonner County,2009,40878,20430,20448
Idaho,Bonneville County,2009,96238,48217,48021
Idaho,Boundary County,2009,10748,5275,5473
Idaho,Butte County,2009,2769,1347,1422
Idaho,Camas County,2009,1040,580,460
Idaho,Canyon County,2009,176820,88578,88242
Idaho,Caribou County,2009,6888,3499,3389
Idaho,Cassia County,2009,21154,10680,10474
Idaho,Clark County,2009,984,503,481
Idaho,Clearwater County,2009,8192,4527,3665
Georgia,Schley County,2009,4129,2196,1933
Idaho,Elmore County,2009,28791,15330,13461
Idaho,Franklin County,2009,12272,6245,6027
Idaho,Fremont County,2009,12537,6469,6068
Idaho,Gem County,2009,16355,8143,8212
Idaho,Gooding County,2009,14320,7459,6861
Idaho,Idaho County,2009,15286,7931,7355
Idaho,Jefferson County,2009,22892,11593,11299
Idaho,Jerome County,2009,20142,10244,9898
Idaho,Kootenai County,2009,133461,65919,67542
Idaho,Latah County,2009,37511,19222,18289
Idaho,Lemhi County,2009,7818,3856,3962
Idaho,Lewis County,2009,3645,1803,1842
Idaho,Lincoln County,2009,4533,2292,2241
Idaho,Madison County,2009,37120,17786,19334
Idaho,Minidoka County,2009,18800,9540,9260
Idaho,Nez Perce County,2009,38691,19062,19629
Idaho,Oneida County,2009,4148,2143,2005
Idaho,Owyhee County,2009,10995,5776,5219
Idaho,Payette County,2009,22534,11181,11353
Idaho,Power County,2009,7689,3830,3859
Idaho,Shoshone County,2009,12794,6412,6382
Idaho,Teton County,2009,8422,4511,3911
Idaho,Twin Falls County,2009,72578,35621,36957
Idaho,Valley County,2009,8667,4531,4136
Idaho,Washington County,2009,10011,4982,5029
Illinois,Adams County,2009,66892,32250,34642
Illinois,Alexander County,2009,8254,3926,4328
Illinois,Bond County,2009,18173,9476,8697
Illinois,Boone County,2009,52400,26667,25733
Illinois,Brown County,2009,6593,4286,2307
Illinois,Bureau County,2009,34795,17055,17740
Illinois,Calhoun County,2009,5076,2545,2531
Illinois,Carroll County,2009,15878,7867,8011
Illinois,Cass County,2009,13575,6802,6773
